"Fly_Number","DurNBodyShovePAL","DurNBodyShovePAN","DurNFeedPAL","DurNFeedPAN","DurNHeadbuttPAL","DurNHeadbuttPAN","DurNLegShovePAL","DurNLegShovePAN","DurNLungePAL","DurNLungePAN","DurNWingThreatPAL","DurNWingThreatPAN","DurNRetreatPAL","DurNRetreatPAN","DurNMovingPAL","DurNMovingPAN","DurNFencingPAL","DurNFencingPAN","DurTTFeedPAL","DurTTFeedPAN","DurTTMovingPAL","DurTTMovingPAN","DurTTFencingPAL","DurTTFencingPAN","DurXFeedPAL","DurXFeedPAN","DurXMovingPAL","DurXMovingPAN","DurXFencingPAL","DurXFencingPAN"
"B32_26",1,0,3,6,0,0,0,1,0,0,0,0,0,0,18,26,3,3,36.013,108.791,121.849,281.909,351.101,351.101,12.00433,18.13183,6.7693900000000005,10.842649999999999,117.03367,117.03367
"B32_29",0,0,1,2,0,0,0,0,0,0,0,0,0,0,14,21,1,1,35.534,132.947,113.672,144.43,314.684,314.684,35.534,66.4735,8.11943,6.87762,314.684,314.684
"B32_30",0,0,5,6,0,0,5,0,0,0,0,1,1,1,21,24,7,7,135.406,220.441,227.384,341.389,757.029,757.029,27.0812,36.74017,10.82781,14.224540000000001,108.147,108.147
"A14_19",0,0,1,9,1,0,0,0,0,0,0,0,0,1,23,24,2,2,11.505,155.158,255.874,272.202,558.421,558.425,11.505,17.23978,11.12496,11.34175,279.2105,279.2125
"D13_15",0,0,0,8,0,0,0,0,0,0,0,0,1,0,15,13,2,2,0,449.596,265.036,144.718,4.005,5.51,0,56.1995,17.66907,11.13215,2.0025,2.755
"C11_6",0,0,2,5,0,0,8,2,0,0,0,0,0,0,4,3,4,4,230.667,569.005,46.405,15.905,227.678,227.678,115.3335,113.801,11.60125,5.30167,56.9195,56.9195
"A32_45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,110.204,43.394,0,0,0,0,10.01855,8.678799999999999,0,0
"C21_29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,449.427,92.005,44.471,0,0,0,449.427,7.66708,22.2355,0,0
"C32_56",0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,13,1,1,0,0,99.976,223.328,327.814,327.814,0,0,9.9976,17.179080000000003,327.814,327.814
"D13_17",0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,19,5,5,0,0,403.895,701.756,607.834,607.834,0,0,18.35886,36.93453,121.5668,121.5668
"A11_2",0,0,0,5,0,0,1,1,0,0,0,0,0,0,23,26,0,0,0,90.358,218.841,307.312,0,0,0,18.0716,9.51483,11.819690000000001,0,0
"A11_3",0,0,0,5,0,0,1,0,0,0,0,0,0,0,21,27,1,1,0,193.485,286.348,211.834,790.023,790.023,0,38.697,13.635620000000001,7.8457,790.023,790.023
"A11_6",0,0,0,7,0,0,2,0,0,0,0,0,3,0,19,17,3,3,0,276.434,187.9,167.326,705.186,705.186,0,39.49057,9.88947,9.842709999999999,235.062,235.062
"A12_11",0,0,0,4,0,0,4,0,0,0,0,0,0,1,15,27,1,1,0,149.994,311.926,170.052,722.959,722.959,0,37.4985,20.79507,6.298220000000001,722.959,722.959
"A12_12",0,0,0,4,0,0,4,0,1,0,0,0,1,0,17,31,2,2,0,149.655,332.997,211.849,793.025,793.025,0,37.41375,19.588060000000002,6.83384,396.5125,396.5125
"A13_13",0,0,0,1,0,0,2,1,0,0,0,0,0,2,13,14,2,2,0,38.741,137.15,222.357,386.615,386.615,0,38.741,10.55,15.882639999999999,193.3075,193.3075
"A14_21",0,0,0,4,1,0,2,0,0,1,0,0,0,0,27,28,1,1,0,170.282,370.8,474.743,220.94,220.94,0,42.5705,13.73333,16.95511,220.94,220.94
"A14_22",0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,19,1,1,0,264.02,172.553,105.812,520.245,520.245,0,52.804,10.15018,5.56905,520.245,520.245
"A14_23",0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,51.428,125.812,204.56,0,0,0,51.428,11.43745,20.456,0,0
"A14_24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,66.318,139.533,80.307,0,0,0,66.318,13.953299999999999,10.03838,0,0
"A22_31",0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,775.81,133.912,136.955,0,0,0,155.162,14.87911,19.565,0,0
"A31_37",0,0,3,0,0,0,2,0,0,0,0,0,0,2,18,26,2,2,390.154,0,203.087,277.977,801.006,801.006,130.05133,0,11.28261,10.69142,400.503,400.503
"A32_43",0,0,0,6,0,0,0,1,0,0,0,0,1,0,22,18,2,2,0,523.98,289.469,158.645,317.551,317.801,0,87.33,13.157680000000001,8.81361,158.7755,158.9005
