,Arena_Start,Arena_End,Letter,Temp,Sex,file_name,file_start_time,file_end_time,temp_room,fights_no,ECDate,EmDate,PALstarvDate,PALstarvTime,PANstarvDate,PANstarvTime,PAL Starv/em,PAN Starv/em,,,,,,,
25/11/21,1,6,A,M,F,A11,10:37,#REF!,24.6,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,7,12,A,M,M,A12,10:55,#REF!,24.6,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,13,18,A,M,F,A13,11:25,11:39,24.6,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,19,24,A,M,M,A14,11:46,12:02,24.6,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,25,30,A,L,F,A21,13:54,#REF!,20.9,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,31,36,A,L,M,A22,14:16,#REF!,21.6,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,37,42,A,H,F,A31,14:54,#REF!,30.4,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
25/11/21,43,48,A,H,M,A32,15:15,#REF!,30.3,6,08/11/21,19/11/21,23/11/21,11:30,24/11/21,11:30,4,5,,,,,,,
26/11/21,1,5,B,H,M,B11,10:56,#REF!,30.2,4,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
26/11/21,6,10,B,H,F,B12,11:17,#REF!,30.2,4,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
26/11/21,11,15,B,L,M,B21,11:46,#REF!,20.9,3,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
26/11/21,16,20,B,L,F,B22,12:07,#REF!,21.2,4,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
26/11/21,21,25,B,M,M,B31,12:32,#REF!,25.5,1,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
26/11/21,26,30,B,M,F,B32,12:52,#REF!,25.5,4,08/11/21,19/11/21,24/11/21,11:30,25/11/21,12:30,5,6,,,,,,,
01/12/21,1,6,C,L,F,C11,10:18,#REF!,20.9,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,7,12,C,L,M,C12,10:38,#REF!,20.9,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,13,18,C,L,F,C13,11:00,#REF!,20.9,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,19,24,C,L,M,C14,11:18,#REF!,20.9,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,25,30,C,H,F,C21,11:51,#REF!,30,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,31,36,C,H,M,C22,12:12,#REF!,30,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,37,42,C,H,F,C23,12:31,#REF!,30,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,43,48,C,H,M,C24,12:50,#REF!,30,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,49,54,C,M,F,C31,13:49,#REF!,25,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,55,60,C,M,M,C32,14:07,#REF!,25,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,61,66,C,M,F,C33,14:24,#REF!,25,6,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
01/12/21,67,72,C,M,M,C34,14:40,#REF!,25,5,11/11/21,22/11/21,29/11/21,11:30,30/11/21,11:00,7,8,,,,,,,
10/12/21,1,6,D,M,M,D11,10:55,11:10,25.6,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,7,12,D,M,F,D12,11:10,11:25,25.3,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,13,18,D,M,M,D13,11:27,11:42,25.1,5,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,19,24,D,M,F,D14,11:42,11:57,25.3,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,25,30,D,H,M,D21,12:15,12:30,30.6,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,31,36,D,H,F,D22,12:32,12:47,30.2,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,37,42,D,H,M,D23,12:50,13:05,30.3,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,43,48,D,H,F,D24,13:06,13:21,30.3,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,49,54,D,L,M,D31,14:37,14:52,20.6,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
10/12/21,55,60,D,L,F,D32,14:53,15:08,21.1,6,22/11/21,3/12/21,8/12/21,11:00,9/12/21,10:15,5,6,,,,,,,
