Fly_Number,PAN_Mass_mg,PAL_Mass_mg
A11_1,0,0.495
A11_2,0.213,0.551
A11_3,0,0.323
A11_4,0.242,0.462
A11_5,0,0.432
A11_6,0.261,0.337
A12_7,0.174,0.327
A12_8,0.162,0.324
A12_9,0.176,0.303
A12_10,0.165,0.311
A12_11,0.137,0.3
A12_12,0.169,0.346
A13_13,0.276,0.49
A13_14,0.239,0.527
A13_15,0.287,0.523
A13_16,0.203,0.424
A13_17,0.266,0.618
A13_18,0.272,0.5
A14_19,0.146,0.316
A14_20,0.185,0.32
A14_21,0.172,0.304
A14_22,0.176,0.275
A14_23,0.183,0.297
A14_24,0.157,0.299
A21_25,0.227,0.485
A21_26,0.218,0.524
A21_27,0.212,0.486
A21_28,0,0.453
A21_29,0.205,0.508
A21_30,0.159,0.455
A22_31,0,0.283
A22_32,0.159,0.304
A22_33,0,0.3
A22_34,0.155,0
A22_35,0.166,0.308
A22_36,0.159,0.311
A31_37,0.211,0.496
A31_38,0.284,0.475
A31_39,0.219,0.451
A31_40,0.215,0.474
A31_41,0.233,0.511
A31_42,0.24,0.463
A32_43,0.16,0.297
A32_44,0.147,0.303
A32_45,0.167,0.312
A32_46,0.166,0.287
A32_47,0.172,0.339
A32_48,0.173,0.3
B11_1,0.153,0.371
B11_2,0.156,0.329
B11_3,0.166,0.304
B11_4,0.178,0.293
B11_5,0,0
B12_6,0.205,0.435
B12_7,0.296,0.566
B12_8,0.215,0.459
B12_9,0,0
B12_10,0.204,0.505
B21_11,0.162,0.316
B21_12,0.184,0.355
B21_13,0,0
B21_14,0.186,0.332
B21_15,0,0
B22_16,0.203,0.558
B22_17,0.225,0.621
B22_18,0,0
B22_19,0.257,0.599
B22_20,0.246,0.58
B31_21,0,0
B31_22,0.152,0.321
B31_23,0,0
B31_24,0,0
B31_25,0,0
B32_26,0.236,0.59
B32_27,0.227,0.622
B32_28,0,0
B32_29,0.225,0.481
B32_30,0.226,0.513
C11_1,0.251,0.556
C11_2,0.242,0.459
C11_3,0.293,0.545
C11_4,0.25,0.477
C11_5,0.246,0.496
C11_6,0.22,0.454
C12_7,0.179,0.279
C12_8,0.176,0.309
C12_9,0.174,0.323
C12_10,0.175,0.299
C12_11,0.174,0.347
C12_12,0.189,0.329
C13_13,0.238,0.522
C13_14,0,0.537
C13_15,0.213,0.46
C13_16,0.286,0.475
C13_17,0.26,0.516
C13_18,0.229,0.474
C14_19,0.152,0.307
C14_20,0.167,0.336
C14_21,0,0.328
C14_22,0.174,0.28
C14_23,0.174,0.319
C14_24,0,0.344
C21_25,0.202,0.523
C21_26,0.265,0.487
C21_27,0.241,0.578
C21_28,0.247,0.555
C21_29,0.293,0.511
C21_30,0.259,0.585
C22_31,0.188,0.323
C22_32,0.173,0.336
C22_33,0.158,0.305
C22_34,0.311,0.256
C22_35,0.163,0.333
C22_36,0.171,0.317
C23_37,0.198,0.532
C23_38,0.251,0.547
C23_39,0.262,0.518
C23_40,0.274,0.566
C23_41,0,0.416
C23_42,0.281,0.568
C24_43,0.188,0.293
C24_44,0.176,0.284
C24_45,0.176,0.324
C24_46,0.177,0.359
C24_47,0,0.313
C24_48,0.174,0.357
C31_49,0,0.46
C31_50,0,0.555
C31_51,0.251,0.518
C31_52,0.271,0.571
C31_53,0.251,0.586
C31_54,0.245,0.425
C32_55,0.165,0.293
C32_56,0.153,0.342
C32_57,0.174,0.314
C32_58,0.158,0.34
C32_59,0.161,0.333
C32_60,0.172,0.381
C33_61,0.28,0.511
C33_62,0.241,0.544
C33_63,0.259,0.582
C33_64,0.26,0.59
C33_65,0.285,0.481
C33_66,0,0.553
C34_67,0.187,0.299
C34_68,0.169,0.333
C34_69,0.161,0.329
C34_70,0.189,0.331
C34_71,0.143,0.323
C34_72,0,0
D11_1,0.154,0.337
D11_2,0.177,0.331
D11_3,0.157,0.337
D11_4,0.15,0.325
D11_5,0.188,0.325
D11_6,0.166,0.326
D12_7,0.257,0.405
D12_8,0.239,0.291
D12_9,0.263,0.453
D12_10,0.225,0.492
D12_11,0.243,0.454
D12_12,0.172,0.489
D13_13,0,0
D13_14,0.163,0.318
D13_15,0.161,0.297
D13_16,0.164,0.302
D13_17,0.149,0.306
D13_18,0.167,0
D14_19,0.154,0.403
D14_20,0.245,0.428
D14_21,0.27,0.508
D14_22,0.257,0.413
D14_23,0.236,0.455
D14_24,0.193,0.486
D21_25,0.164,0.307
D21_26,0.153,0.256
D21_27,0,0.334
D21_28,0.146,0.241
D21_29,0,0.276
D21_30,0.153,0.281
D22_31,0.202,0.365
D22_32,0.225,0.418
D22_33,0.24,0.467
D22_34,0.284,0.402
D22_35,0.261,0.466
D22_36,0.235,0.415
D23_37,0,0.29
D23_38,0.168,0.3
D23_39,0.176,0.265
D23_40,0.168,0.283
D23_41,0.167,0.252
D23_42,0.172,0.248
D24_43,0,0.452
D24_44,0.209,0.37
D24_45,0.223,0.456
D24_46,0.233,0.448
D24_47,0.221,0.417
D24_48,0.186,0.323
D31_49,0.158,0.281
D31_50,0.214,0.32
D31_51,0.174,0.27
D31_52,0.172,0.305
D31_53,0.182,0.246
D31_54,0.175,0.317
D32_55,0.219,0.496
D32_56,0,0.496
D32_57,0.23,0.307
D32_58,0.222,0.443
D32_59,0.212,0.402
D32_60,0,0
D33_61,0.243,0.424
D33_62,0.17,0
D33_63,0.158,0.273
D33_64,0.191,0.317
D33_65,0,0
D33_66,0.193,0
D34_67,0.23,0.446
D34_68,0.204,0.449
D34_69,0.251,0.413
D34_70,0.203,0.455
D34_71,0.282,0.445
D34_72,0.229,0.425
