FirstLineOfResults=10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Name: summaryfile.rsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Format: Summary Result File 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated: Tue Apr 12 10:30:47 GMT 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#-----------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd.resFilesFolder=Y:\New Folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BEGIN RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd.res file, StateAllInt N-0-!, StateAllInt N-0-1, StateAllInt N-0-2, StateAllInt N-0-@, StateAllInt N-0-A, StateAllInt N-0-C, StateAllInt N-0-D, StateAllInt N-0-E, StateAllInt N-0-Q, StateAllInt N-0-R, StateAllInt N-0-S, StateAllInt N-0-W, StateAllInt N-0-X, StateAllInt N-0-Z, StateAllInt N-0-a, StateAllInt N-0-c, StateAllInt N-0-d, StateAllInt N-0-e, StateAllInt N-0-q, StateAllInt N-0-r, StateAllInt N-0-s, StateAllInt N-0-w, StateAllInt N-0-x, StateAllInt N-0-z, StateAllInt TT-0-!, StateAllInt TT-0-1, StateAllInt TT-0-2, StateAllInt TT-0-@, StateAllInt TT-0-A, StateAllInt TT-0-C, StateAllInt TT-0-D, StateAllInt TT-0-E, StateAllInt TT-0-Q, StateAllInt TT-0-R, StateAllInt TT-0-S, StateAllInt TT-0-W, StateAllInt TT-0-X, StateAllInt TT-0-Z, StateAllInt TT-0-a, StateAllInt TT-0-c, StateAllInt TT-0-d, StateAllInt TT-0-e, StateAllInt TT-0-q, StateAllInt TT-0-r, StateAllInt TT-0-s, StateAllInt TT-0-w, StateAllInt TT-0-x, StateAllInt TT-0-z, StateAllInt X-0-!, StateAllInt X-0-1, StateAllInt X-0-2, StateAllInt X-0-@, StateAllInt X-0-A, StateAllInt X-0-C, StateAllInt X-0-D, StateAllInt X-0-E, StateAllInt X-0-Q, StateAllInt X-0-R, StateAllInt X-0-S, StateAllInt X-0-W, StateAllInt X-0-X, StateAllInt X-0-Z, StateAllInt X-0-a, StateAllInt X-0-c, StateAllInt X-0-d, StateAllInt X-0-e, StateAllInt X-0-q, StateAllInt X-0-r, StateAllInt X-0-s, StateAllInt X-0-w, StateAllInt X-0-x, StateAllInt X-0-z, StateAllInt SD-0-!, StateAllInt SD-0-1, StateAllInt SD-0-2, StateAllInt SD-0-@, StateAllInt SD-0-A, StateAllInt SD-0-C, StateAllInt SD-0-D, StateAllInt SD-0-E, StateAllInt SD-0-Q, StateAllInt SD-0-R, StateAllInt SD-0-S, StateAllInt SD-0-W, StateAllInt SD-0-X, StateAllInt SD-0-Z, StateAllInt SD-0-a, StateAllInt SD-0-c, StateAllInt SD-0-d, StateAllInt SD-0-e, StateAllInt SD-0-q, StateAllInt SD-0-r, StateAllInt SD-0-s, StateAllInt SD-0-w, StateAllInt SD-0-x, StateAllInt SD-0-z, StateAllInt Prop-0-!, StateAllInt Prop-0-1, StateAllInt Prop-0-2, StateAllInt Prop-0-@, StateAllInt Prop-0-A, StateAllInt Prop-0-C, StateAllInt Prop-0-D, StateAllInt Prop-0-E, StateAllInt Prop-0-Q, StateAllInt Prop-0-R, StateAllInt Prop-0-S, StateAllInt Prop-0-W, StateAllInt Prop-0-X, StateAllInt Prop-0-Z, StateAllInt Prop-0-a, StateAllInt Prop-0-c, StateAllInt Prop-0-d, StateAllInt Prop-0-e, StateAllInt Prop-0-q, StateAllInt Prop-0-r, StateAllInt Prop-0-s, StateAllInt Prop-0-w, StateAllInt Prop-0-x, StateAllInt Prop-0-z, StateAllDur N-0-!, StateAllDur N-0-1, StateAllDur N-0-2, StateAllDur N-0-@, StateAllDur N-0-A, StateAllDur N-0-C, StateAllDur N-0-D, StateAllDur N-0-E, StateAllDur N-0-Q, StateAllDur N-0-R, StateAllDur N-0-S, StateAllDur N-0-W, StateAllDur N-0-X, StateAllDur N-0-Z, StateAllDur N-0-a, StateAllDur N-0-c, StateAllDur N-0-d, StateAllDur N-0-e, StateAllDur N-0-q, StateAllDur N-0-r, StateAllDur N-0-s, StateAllDur N-0-w, StateAllDur N-0-x, StateAllDur N-0-z, StateAllDur TT-0-!, StateAllDur TT-0-1, StateAllDur TT-0-2, StateAllDur TT-0-@, StateAllDur TT-0-A, StateAllDur TT-0-C, StateAllDur TT-0-D, StateAllDur TT-0-E, StateAllDur TT-0-Q, StateAllDur TT-0-R, StateAllDur TT-0-S, StateAllDur TT-0-W, StateAllDur TT-0-X, StateAllDur TT-0-Z, StateAllDur TT-0-a, StateAllDur TT-0-c, StateAllDur TT-0-d, StateAllDur TT-0-e, StateAllDur TT-0-q, StateAllDur TT-0-r, StateAllDur TT-0-s, StateAllDur TT-0-w, StateAllDur TT-0-x, StateAllDur TT-0-z, StateAllDur X-0-!, StateAllDur X-0-1, StateAllDur X-0-2, StateAllDur X-0-@, StateAllDur X-0-A, StateAllDur X-0-C, StateAllDur X-0-D, StateAllDur X-0-E, StateAllDur X-0-Q, StateAllDur X-0-R, StateAllDur X-0-S, StateAllDur X-0-W, StateAllDur X-0-X, StateAllDur X-0-Z, StateAllDur X-0-a, StateAllDur X-0-c, StateAllDur X-0-d, StateAllDur X-0-e, StateAllDur X-0-q, StateAllDur X-0-r, StateAllDur X-0-s, StateAllDur X-0-w, StateAllDur X-0-x, StateAllDur X-0-z, StateAllDur SD-0-!, StateAllDur SD-0-1, StateAllDur SD-0-2, StateAllDur SD-0-@, StateAllDur SD-0-A, StateAllDur SD-0-C, StateAllDur SD-0-D, StateAllDur SD-0-E, StateAllDur SD-0-Q, StateAllDur SD-0-R, StateAllDur SD-0-S, StateAllDur SD-0-W, StateAllDur SD-0-X, StateAllDur SD-0-Z, StateAllDur SD-0-a, StateAllDur SD-0-c, StateAllDur SD-0-d, StateAllDur SD-0-e, StateAllDur SD-0-q, StateAllDur SD-0-r, StateAllDur SD-0-s, StateAllDur SD-0-w, StateAllDur SD-0-x, StateAllDur SD-0-z, StateAllDur Prop-0-!, StateAllDur Prop-0-1, StateAllDur Prop-0-2, StateAllDur Prop-0-@, StateAllDur Prop-0-A, StateAllDur Prop-0-C, StateAllDur Prop-0-D, StateAllDur Prop-0-E, StateAllDur Prop-0-Q, StateAllDur Prop-0-R, StateAllDur Prop-0-S, StateAllDur Prop-0-W, StateAllDur Prop-0-X, StateAllDur Prop-0-Z, StateAllDur Prop-0-a, StateAllDur Prop-0-c, StateAllDur Prop-0-d, StateAllDur Prop-0-e, StateAllDur Prop-0-q, StateAllDur Prop-0-r, StateAllDur Prop-0-s, StateAllDur Prop-0-w, StateAllDur Prop-0-x, StateAllDur Prop-0-z
B32_26_No focal subject.cd.res,1,1,1,1,19,1,1,1,4,1,18,3,1,3,27,1,1,1,6,1,27,6,1,3,765848,765848,765848,765848,643999,765848,142763,765848,729835,765848,122004,257363,765848,414747,483939,458842,765848,765848,657057,765848,282064,129724,765848,414747,765848,765848,765848,765848,33894.68,765848,142763,765848,182458.75,765848,6778,85787.67,765848,138249,17923.67,458842,765848,765848,109509.5,765848,10446.81,21620.67,765848,138249,0,0,0,0,46843.29,0,0,0,113806.04,0,3379.54,121361.01,0,239454.29,15703.35,0,0,0,129325.11,0,8940.72,22512.38,0,239454.29,1,1,1,1,0.8409,1,0.1864,1,0.953,1,0.1593,0.336,1,0.5416,0.6319,0.5991,1,1,0.8579,1,0.3683,0.1694,1,0.5416,0,0,0,0,18,0,1,0,3,0,18,3,0,3,26,1,0,0,6,0,27,5,0,3,0,0,0,0,121849,0,623085,0,36013,0,643844,508485,0,351101,281909,307006,0,0,108791,0,483784,636124,0,351101,0,0,0,0,6769.39,0,623085,0,12004.33,0,35769.11,169495,0,117033.67,10842.65,307006,0,0,18131.83,0,17917.93,127224.8,0,117033.67,0,0,0,0,3392.87,0,0,0,7504.01,0,47462.48,135717.98,0,157022.77,8859.07,0,0,0,23586.71,0,15587.14,136207.53,0,157022.77,0,0,0,0,0.1591,0,0.8136,0,0.047,0,0.8407,0.664,0,0.4584,0.3681,0.4009,0,0,0.1421,0,0.6317,0.8306,0,0.4584
B32_29_No focal subject.cd.res,1,1,1,1,15,1,1,1,2,1,14,1,1,1,22,1,1,1,2,1,21,2,1,1,766003,766003,766003,766003,652331,766003,766003,766003,730469,766003,113672,298934,766003,451319,621573,766003,766003,766003,633056,766003,144430,132947,766003,451319,766003,766003,766003,766003,43488.73,766003,766003,766003,365234.5,766003,8119.43,298934,766003,451319,28253.32,766003,766003,766003,316528,766003,6877.62,66473.5,766003,451319,0,0,0,0,31623.45,0,0,0,144015.73,0,6264.55,0,0,0,32001.02,0,0,0,166122.01,0,4075.82,61014.12,0,0,1,1,1,1,0.8516,1,1,1,0.9536,1,0.1484,0.3903,1,0.5892,0.8114,1,1,1,0.8264,1,0.1886,0.1736,1,0.5892,0,0,0,0,14,0,0,0,1,0,15,1,0,1,21,0,0,0,2,0,22,2,0,1,0,0,0,0,113672,0,0,0,35534,0,652331,467069,0,314684,144430,0,0,0,132947,0,621573,633056,0,314684,0,0,0,0,8119.43,0,0,0,35534,0,43488.73,467069,0,314684,6877.62,0,0,0,66473.5,0,28253.32,316528,0,314684,0,0,0,0,6264.55,0,0,0,0,0,31623.45,0,0,0,4075.82,0,0,0,61014.12,0,32001.02,166122.01,0,0,0,0,0,0,0.1484,0,0,0,0.0464,0,0.8516,0.6097,0,0.4108,0.1886,0,0,0,0.1736,0,0.8114,0.8264,0,0.4108
B32_30_No focal subject.cd.res,1,1,1,1,22,5,1,1,4,1,21,5,1,7,25,1,1,1,6,1,25,6,1,7,766003,201302,766003,766003,538619,10385,766003,766003,630597,503888,227384,135406,766003,8974,424614,766003,766003,766003,545562,695035,342292,225123,766003,8974,766003,201302,766003,766003,24482.68,2077,766003,766003,157649.25,503888,10827.81,27081.2,766003,1282,16984.56,766003,766003,766003,90927,695035,13691.68,37520.5,766003,1282,0,0,0,0,24296.42,4644.31,0,0,140237.61,0,7773.88,43631.75,0,3391.85,21327.89,0,0,0,163778.77,0,13158.02,47335.03,0,3391.85,1,0.2628,1,1,0.7032,0.0136,1,1,0.8232,0.6578,0.2968,0.1768,1,0.0117,0.5543,1,1,1,0.7122,0.9074,0.4469,0.2939,1,0.0117,0,1,0,0,21,5,0,0,5,1,22,4,0,7,24,0,0,0,6,1,25,5,0,7,0,564701,0,0,227384,755618,0,0,135406,262115,538619,630597,0,757029,341389,0,0,0,220441,70968,423711,540880,0,757029,0,564701,0,0,10827.81,151123.6,0,0,27081.2,262115,24482.68,157649.25,0,108147,14224.54,0,0,0,36740.17,70968,16948.44,108176,0,108147,0,0,0,0,7773.88,186219.89,0,0,43631.75,0,24296.42,140237.61,0,71589.87,13162.59,0,0,0,47911.78,0,21356.56,176912.12,0,71401.03,0,0.7372,0,0,0.2968,0.9864,0,0,0.1768,0.3422,0.7032,0.8232,0,0.9883,0.4457,0,0,0,0.2878,0.0926,0.5531,0.7061,0,0.9883
A14_19_No focal subject.cd.res,1,1,1,1,24,1,1,1,2,1,24,1,2,2,25,1,1,1,10,1,24,9,2,2,886372,886372,886372,886372,630498,886372,886372,747363,874867,886372,271503,229843,776259,327951,614170,886372,886372,886372,731214,747365,285833,196552,776263,327947,886372,886372,886372,886372,26270.75,886372,886372,747363,437433.5,886372,11312.62,229843,388129.5,163975.5,24566.8,886372,886372,886372,73121.4,747365,11909.71,21839.11,388131.5,163973.5,0,0,0,0,18951.25,0,0,0,309847.83,0,9635.62,0,236584.49,76173.08,25728.17,0,0,0,69466.24,0,13323.24,27238.23,236587.32,76175.91,1,1,1,1,0.7113,1,1,0.8432,0.987,1,0.3063,0.2593,0.8758,0.37,0.6929,1,1,1,0.825,0.8432,0.3225,0.2217,0.8758,0.37,0,0,0,0,23,0,0,1,1,0,24,1,1,2,24,0,0,0,9,1,24,9,1,2,0,0,0,0,255874,0,0,139009,11505,0,614869,656529,110113,558421,272202,0,0,0,155158,139007,600539,689820,110109,558425,0,0,0,0,11124.96,0,0,139009,11505,0,25619.54,656529,110113,279210.5,11341.75,0,0,0,17239.78,139007,25022.46,76646.67,110109,279212.5,0,0,0,0,9285.18,0,0,0,0,0,17753.86,0,0,390619.22,13135.23,0,0,0,18474.14,0,26178.28,72725.13,0,390622.05,0,0,0,0,0.2887,0,0,0.1568,0.013,0,0.6937,0.7407,0.1242,0.63,0.3071,0,0,0,0.175,0.1568,0.6775,0.7783,0.1242,0.63
D13_15_No focal subject.cd.res,1,1,1,1,16,1,1,1,1,1,15,1,2,3,14,1,1,1,8,1,13,8,2,3,898131,898131,898131,898131,633095,898131,898131,898131,898131,408529,269417,898131,204073,894126,753413,898131,898131,898131,448535,898131,146589,485217,205825,892621,898131,898131,898131,898131,39568.44,898131,898131,898131,898131,408529,17961.13,898131,102036.5,298042,53815.21,898131,898131,898131,56066.88,898131,11276.08,60652.12,102912.5,297540.33,0,0,0,0,56961.36,0,0,0,0,0,21382.08,0,140761.63,165266.28,65869.77,0,0,0,72837.52,0,9668.17,41682.63,141287.71,165256.91,1,1,1,1,0.7049,1,1,1,1,0.4549,0.3,1,0.2272,0.9955,0.8389,1,1,1,0.4994,1,0.1632,0.5403,0.2292,0.9939,0,0,0,0,15,0,0,0,0,1,15,0,2,2,13,0,0,0,8,0,13,7,2,2,0,0,0,0,265036,0,0,0,0,489602,628714,0,694058,4005,144718,0,0,0,449596,0,751542,412914,692306,5510,0,0,0,0,17669.07,0,0,0,0,489602,41914.27,0,347029,2002.5,11132.15,0,0,0,56199.5,0,57810.92,58987.71,346153,2755,0,0,0,0,21537.1,0,0,0,0,0,58155.12,0,200568.01,707.81,9563.05,0,0,0,43365.18,0,66770.12,78165.82,201098.34,356.38,0,0,0,0,0.2951,0,0,0,0,0.5451,0.7,0,0.7728,0.0045,0.1611,0,0,0,0.5006,0,0.8368,0.4597,0.7708,0.0061
C11_6_No focal subject.cd.res,1,1,1,1,5,8,1,1,2,1,4,2,1,4,4,2,1,1,6,1,3,5,1,4,899965,899965,899965,899965,853560,723340,899965,899965,669298,899965,341837,869439,899965,672287,884060,720590,899965,899965,330960,899965,673675,569043,899965,672287,899965,899965,899965,899965,170712,90417.5,899965,899965,334649,899965,85459.25,434719.5,899965,168071.75,221015,360295,899965,899965,55160,899965,224558.33,113808.6,899965,168071.75,0,0,0,0,114343.17,255739.31,0,0,430094.87,0,147324.98,440024.77,0,336143.5,305706.46,509534.08,0,0,63606.9,0,382325.81,229676.64,0,336143.5,1,1,1,1,0.9484,0.8037,1,1,0.7437,1,0.3798,0.9661,1,0.747,0.9823,0.8007,1,1,0.3677,1,0.7486,0.6323,1,0.747,0,0,0,0,4,8,0,0,2,0,4,1,0,4,3,2,0,0,5,0,3,5,0,4,0,0,0,0,46405,176625,0,0,230667,0,558128,30526,0,227678,15905,179375,0,0,569005,0,226290,330922,0,227678,0,0,0,0,11601.25,22078.12,0,0,115333.5,0,139532,30526,0,56919.5,5301.67,89687.5,0,0,113801,0,75430,66184.4,0,56919.5,0,0,0,0,10534.8,29277.09,0,0,11655.24,0,104647.97,0,0,51153.66,2581.96,60311.26,0,0,229659.66,0,114082.03,64387.63,0,50941.79,0,0,0,0,0.0516,0.1963,0,0,0.2563,0,0.6202,0.0339,0,0.253,0.0177,0.1993,0,0,0.6323,0,0.2514,0.3677,0,0.253
A32_45_No focal subject.cd.res,1,1,1,1,12,1,1,1,1,1,11,1,1,1,6,1,1,1,1,1,5,1,1,1,900001,900001,900001,900001,789797,900001,900001,900001,900001,900001,110204,900001,900001,900001,856607,900001,900001,900001,900001,900001,43394,900001,900001,900001,900001,900001,900001,900001,65816.42,900001,900001,900001,900001,900001,10018.55,900001,900001,900001,142767.83,900001,900001,900001,900001,900001,8678.8,900001,900001,900001,0,0,0,0,97053.87,0,0,0,0,0,3862.53,0,0,0,145107.36,0,0,0,0,0,4867.45,0,0,0,1,1,1,1,0.8776,1,1,1,1,1,0.1224,1,1,1,0.9518,1,1,1,1,1,0.0482,1,1,1,0,0,0,0,11,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,110204,0,0,0,0,0,789797,0,0,0,43394,0,0,0,0,0,856607,0,0,0,0,0,0,0,10018.55,0,0,0,0,0,65816.42,0,0,0,8678.8,0,0,0,0,0,142767.83,0,0,0,0,0,0,0,3862.53,0,0,0,0,0,97053.87,0,0,0,4867.45,0,0,0,0,0,145107.36,0,0,0,0,0,0,0,0.1224,0,0,0,0,0,0.8776,0,0,0,0.0482,0,0,0,0,0,0.9518,0,0,0
