Fly_Number,file_name,Letter,Sex,Temp,temp_room,Species,Mass,mass_dif
A11_1,A11,A,F,M,24.6,PAN,NA,0.495
A11_1,A11,A,F,M,24.6,PAL,0.495,0.495
A11_2,A11,A,F,M,24.6,PAN,0.213,0.3380000000000001
A11_2,A11,A,F,M,24.6,PAL,0.551,0.3380000000000001
A11_3,A11,A,F,M,24.6,PAN,NA,0.323
A11_3,A11,A,F,M,24.6,PAL,0.323,0.323
A11_4,A11,A,F,M,24.6,PAN,0.242,0.22000000000000003
A11_4,A11,A,F,M,24.6,PAL,0.462,0.22000000000000003
A11_5,A11,A,F,M,24.6,PAN,NA,0.432
A11_5,A11,A,F,M,24.6,PAL,0.432,0.432
A11_6,A11,A,F,M,24.6,PAN,0.261,0.07600000000000001
A11_6,A11,A,F,M,24.6,PAL,0.337,0.07600000000000001
A12_7,A12,A,M,M,24.6,PAN,0.174,0.15300000000000002
A12_7,A12,A,M,M,24.6,PAL,0.327,0.15300000000000002
A12_8,A12,A,M,M,24.6,PAN,0.162,0.162
A12_8,A12,A,M,M,24.6,PAL,0.324,0.162
A12_9,A12,A,M,M,24.6,PAN,0.176,0.127
A12_9,A12,A,M,M,24.6,PAL,0.303,0.127
A12_10,A12,A,M,M,24.6,PAN,0.165,0.146
A12_10,A12,A,M,M,24.6,PAL,0.311,0.146
A12_11,A12,A,M,M,24.6,PAN,0.137,0.16299999999999998
A12_11,A12,A,M,M,24.6,PAL,0.3,0.16299999999999998
A12_12,A12,A,M,M,24.6,PAN,0.169,0.17699999999999996
A12_12,A12,A,M,M,24.6,PAL,0.346,0.17699999999999996
A13_13,A13,A,F,M,24.6,PAN,0.276,0.21399999999999997
A13_13,A13,A,F,M,24.6,PAL,0.49,0.21399999999999997
A13_14,A13,A,F,M,24.6,PAN,0.239,0.28800000000000003
A13_14,A13,A,F,M,24.6,PAL,0.527,0.28800000000000003
A13_15,A13,A,F,M,24.6,PAN,0.287,0.23600000000000004
A13_15,A13,A,F,M,24.6,PAL,0.523,0.23600000000000004
A13_16,A13,A,F,M,24.6,PAN,0.203,0.22099999999999997
A13_16,A13,A,F,M,24.6,PAL,0.424,0.22099999999999997
A13_17,A13,A,F,M,24.6,PAN,0.266,0.352
A13_17,A13,A,F,M,24.6,PAL,0.618,0.352
A13_18,A13,A,F,M,24.6,PAN,0.272,0.22799999999999998
A13_18,A13,A,F,M,24.6,PAL,0.5,0.22799999999999998
A14_19,A14,A,M,M,24.6,PAN,0.146,0.17
A14_19,A14,A,M,M,24.6,PAL,0.316,0.17
A14_20,A14,A,M,M,24.6,PAN,0.185,0.135
A14_20,A14,A,M,M,24.6,PAL,0.32,0.135
A14_21,A14,A,M,M,24.6,PAN,0.172,0.132
A14_21,A14,A,M,M,24.6,PAL,0.304,0.132
A14_22,A14,A,M,M,24.6,PAN,0.176,0.09900000000000003
A14_22,A14,A,M,M,24.6,PAL,0.275,0.09900000000000003
A14_23,A14,A,M,M,24.6,PAN,0.183,0.11399999999999999
A14_23,A14,A,M,M,24.6,PAL,0.297,0.11399999999999999
