Fly_Number,DurNBodyShove,DurNFeed,DurNHeadbutt,DurNLegShove,DurNLunge,DurNWingThreat,DurNRetreat,DurNMoving,DurNFencing,DurTTFeed,DurTTMoving,DurTTFencing,DurXFeed,DurXMoving,DurXFencing,Species,file_name,Letter,Sex,Temp,temp_room,Mass,mass_dif,fencing_presence,total_ag_acts
B32_26,1,3,0,0,0,0,0,18,3,36.013,121.849,351.101,12.00433,6.7693900000000005,117.03367,PAL,B32,B,F,M,25.5,0.59,0.354,1,4
B32_29,0,1,0,0,0,0,0,14,1,35.534,113.672,314.684,35.534,8.11943,314.684,PAL,B32,B,F,M,25.5,0.481,0.256,1,1
B32_30,0,5,0,5,0,0,1,21,7,135.406,227.384,757.029,27.0812,10.82781,108.147,PAL,B32,B,F,M,25.5,0.513,0.28700000000000003,1,12
A14_19,0,1,1,0,0,0,0,23,2,11.505,255.874,558.421,11.505,11.12496,279.2105,PAL,A14,A,M,M,24.6,0.316,0.17,1,3
D13_15,0,0,0,0,0,0,1,15,2,0,265.036,4.005,0,17.66907,2.0025,PAL,D13,D,M,M,25.1,0.297,0.13599999999999998,1,2
C11_6,0,2,0,8,0,0,0,4,4,230.667,46.405,227.678,115.3335,11.60125,56.9195,PAL,C11,C,F,L,20.9,0.454,0.234,1,12
A32_45,0,0,0,0,0,0,0,11,0,0,110.204,0,0,10.01855,0,PAL,A32,A,M,H,30.3,0.312,0.145,0,0
C21_29,0,0,0,0,0,0,0,12,0,0,92.005,0,0,7.66708,0,PAL,C21,C,F,H,30,0.511,0.21800000000000003,0,0
C32_56,0,0,0,0,0,0,0,10,1,0,99.976,327.814,0,9.9976,327.814,PAL,C32,C,M,M,25,0.342,0.18900000000000003,1,1
D13_17,0,0,0,4,0,0,0,22,5,0,403.895,607.834,0,18.35886,121.5668,PAL,D13,D,M,M,25.1,0.306,0.157,1,9
A11_2,0,0,0,1,0,0,0,23,0,0,218.841,0,0,9.51483,0,PAL,A11,A,F,M,24.6,0.551,0.3380000000000001,0,1
A11_3,0,0,0,1,0,0,0,21,1,0,286.348,790.023,0,13.635620000000001,790.023,PAL,A11,A,F,M,24.6,0.323,0.323,1,2
A11_6,0,0,0,2,0,0,3,19,3,0,187.9,705.186,0,9.88947,235.062,PAL,A11,A,F,M,24.6,0.337,0.07600000000000001,1,5
A12_11,0,0,0,4,0,0,0,15,1,0,311.926,722.959,0,20.79507,722.959,PAL,A12,A,M,M,24.6,0.3,0.16299999999999998,1,5
A12_12,0,0,0,4,1,0,1,17,2,0,332.997,793.025,0,19.588060000000002,396.5125,PAL,A12,A,M,M,24.6,0.346,0.17699999999999996,1,7
