Fly_Number,Letter,Temp,Sex,temp_room,bouts,mass_dif,TTBouts,resolved,loses,draws,wins,Species,Mass
B32_26,B,M,F,25.5,3,0.354,351.101,0,0,3,0,PAN,0.236
B32_29,B,M,F,25.5,1,0.256,314.684,0,0,1,0,PAN,0.225
B32_30,B,M,F,25.5,7,0.28700000000000003,757.029,2,1,5,1,PAN,0.226
A14_19,A,M,M,24.6,2,0.17,558.425,1,1,1,0,PAN,0.146
D13_15,D,M,M,25.1,2,0.13599999999999998,5.51,1,0,1,1,PAN,0.161
C11_6,C,L,F,20.9,4,0.234,227.678,0,0,4,0,PAN,0.22
A32_45,A,H,M,30.3,0,0.145,0,0,0,0,0,PAN,0.167
C21_29,C,H,F,30,0,0.21800000000000003,0,0,0,0,0,PAN,0.293
C32_56,C,M,M,25,1,0.18900000000000003,327.814,1,1,0,0,PAN,0.153
D13_17,D,M,M,25.1,5,0.157,607.834,0,0,5,0,PAN,0.149
A11_2,A,M,F,24.6,0,0.3380000000000001,0,0,0,0,0,PAN,0.213
A11_3,A,M,F,24.6,1,0.323,790.023,0,0,1,0,PAN,0
A11_6,A,M,F,24.6,3,0.07600000000000001,705.186,3,0,0,3,PAN,0.261
A12_11,A,M,M,24.6,1,0.16299999999999998,722.959,1,1,0,0,PAN,0.137
A12_12,A,M,M,24.6,2,0.17699999999999996,793.025,1,0,1,1,PAN,0.169
A13_13,A,M,F,24.6,2,0.21399999999999997,386.615,2,2,0,0,PAN,0.276
A14_21,A,M,M,24.6,1,0.132,220.94,0,0,1,0,PAN,0.172
A14_22,A,M,M,24.6,1,0.09900000000000003,520.245,0,0,1,0,PAN,0.176
A14_23,A,M,M,24.6,0,0.11399999999999999,0,0,0,0,0,PAN,0.183
A14_24,A,M,M,24.6,0,0.142,0,0,0,0,0,PAN,0.157
A22_31,A,L,M,21.6,0,0.283,0,0,0,0,0,PAN,0
A31_37,A,H,F,30.4,2,0.28500000000000003,801.006,2,2,0,0,PAN,0.211
A32_43,A,H,M,30.3,2,0.13699999999999998,317.801,1,0,1,1,PAN,0.16
A32_44,A,H,M,30.3,0,0.156,0,0,0,0,0,PAN,0.147
A32_48,A,H,M,30.3,0,0.127,0,0,0,0,0,PAN,0.173
B12_10,B,H,F,30.2,4,0.30100000000000005,845.319,3,2,1,1,PAN,0.204
B12_8,B,H,F,30.2,0,0.24400000000000002,0,0,0,0,0,PAN,0.215
B21_11,B,L,M,20.9,4,0.154,619.855,2,2,2,0,PAN,0.162
B31_22,B,M,M,25.5,2,0.169,482.213,2,2,0,0,PAN,0.152
C11_4,C,L,F,20.9,0,0.22699999999999998,0,0,0,0,0,PAN,0.25
C11_5,C,L,F,20.9,1,0.25,645.378,0,0,1,0,PAN,0.246
C12_8,C,L,M,20.9,6,0.133,722.95,2,1,4,1,PAN,0.176
C12_9,C,L,M,20.9,3,0.14900000000000002,832.058,3,3,0,0,PAN,0.174
C13_15,C,L,F,20.9,7,0.24700000000000003,875.856,5,5,2,0,PAN,0.213
C22_31,C,H,M,30,1,0.135,163.645,1,1,0,0,PAN,0.188
C22_33,C,H,M,30,3,0.147,783.012,2,2,1,0,PAN,0.158
C23_37,C,H,F,30,1,0.334,764.75,0,0,1,0,PAN,0.198
C23_40,C,H,F,30,0,0.2919999999999999,0,0,0,0,0,PAN,0.274
C23_41,C,H,F,30,1,0.416,213.169,1,1,0,0,PAN,0
C24_43,C,H,M,30,1,0.10499999999999998,833.695,0,0,1,0,PAN,0.188
C24_45,C,H,M,30,2,0.14800000000000002,503.573,2,2,0,0,PAN,0.176
C24_48,C,H,M,30,4,0.183,868.602,1,1,3,0,PAN,0.174
C31_49,C,M,F,25,0,0.46,0,0,0,0,0,PAN,0
C31_53,C,M,F,25,4,0.33499999999999996,833.316,2,1,2,1,PAN,0.251
C32_57,C,M,M,25,3,0.14,599.334,1,0,1,1,PAN,0.174
C32_58,C,M,M,25,2,0.18200000000000002,79.814,0,0,2,0,PAN,0.158
C33_65,C,M,F,25,0,0.196,0,0,0,0,0,PAN,0.285
C33_66,C,M,F,25,2,0.553,864.345,2,0,0,2,PAN,0
C34_67,C,M,M,25,1,0.11199999999999999,191.166,0,0,1,0,PAN,0.187
C34_68,C,M,M,25,2,0.164,207.68,0,0,2,0,PAN,0.169
C34_69,C,M,M,25,5,0.168,717.95,1,1,4,0,PAN,0.161
C34_71,C,M,M,25,1,0.18000000000000002,227.21,0,0,1,0,PAN,0.143
D12_11,D,M,F,25.3,0,0.21100000000000002,0,0,0,0,0,PAN,0.243
D12_12,D,M,F,25.3,0,0.317,0,0,0,0,0,PAN,0.172
D12_9,D,M,F,25.3,2,0.19,473.207,2,2,0,0,PAN,0.263
D13_18,D,M,M,25.1,1,-0.167,462.193,1,1,0,0,PAN,0.167
D14_19,D,M,F,25.3,1,0.24900000000000003,517.483,0,0,1,0,PAN,0.154
D14_21,D,M,F,25.3,0,0.238,0,0,0,0,0,PAN,0.27
D14_23,D,M,F,25.3,0,0.21900000000000003,0,0,0,0,0,PAN,0.236
D21_27,D,H,M,30.6,4,0.334,861.338,0,0,4,0,PAN,0
D21_29,D,H,M,30.6,1,0.276,421.657,1,1,0,0,PAN,0
D23_37,D,H,M,30.3,2,0.29,690.416,0,0,2,0,PAN,0
D24_45,D,H,F,30.3,0,0.233,0,0,0,0,0,PAN,0.223
D31_50,D,L,M,20.6,1,0.10600000000000001,81.603,0,0,1,0,PAN,0.214
D31_51,D,L,M,20.6,0,0.09600000000000003,0,0,0,0,0,PAN,0.174
D33_63,D,L,M,21.1,0,0.11500000000000002,0,0,0,0,0,PAN,0.158
D34_67,D,L,F,21.3,6,0.216,900.002,1,1,5,0,PAN,0.23
D34_68,D,L,F,21.3,1,0.24500000000000002,0,0,0,0,0,PAN,0.204
D34_70,D,L,F,21.3,14,0.252,897.343,1,1,13,0,PAN,0.203
A11_4,A,M,F,24.6,4,0.22000000000000003,457.442,3,3,1,0,PAN,0.242
A12_10,A,M,M,24.6,7,0.146,734.46,2,1,5,1,PAN,0.165
