Fly_Number,Letter,Temp,Sex,temp_room,bouts,PAN_Mass_mg,PAL_Mass_mg,mass_dif,DurTTFencingPAN,DurTTFencingPAL,resolved,losesPAL,losesPAN,drawsPAL,drawsPAN,winsPAL,winsPAN
B32_26,B,M,F,25.5,3,0.236,0.59,0.354,351.101,351.101,0,0,0,3,3,0,0
B32_29,B,M,F,25.5,1,0.225,0.481,0.256,314.684,314.684,0,0,0,1,1,0,0
B32_30,B,M,F,25.5,7,0.226,0.513,0.28700000000000003,757.029,757.029,2,1,1,5,5,1,1
A14_19,A,M,M,24.6,2,0.146,0.316,0.17,558.425,558.421,1,0,1,1,1,1,0
D13_15,D,M,M,25.1,2,0.161,0.297,0.13599999999999998,5.51,4.005,1,1,0,1,1,0,1
C11_6,C,L,F,20.9,4,0.22,0.454,0.234,227.678,227.678,0,0,0,4,4,0,0
A32_45,A,H,M,30.3,0,0.167,0.312,0.145,0,0,0,0,0,0,0,0,0
C21_29,C,H,F,30,0,0.293,0.511,0.21800000000000003,0,0,0,0,0,0,0,0,0
C32_56,C,M,M,25,1,0.153,0.342,0.18900000000000003,327.814,327.814,1,0,1,0,0,1,0
D13_17,D,M,M,25.1,5,0.149,0.306,0.157,607.834,607.834,0,0,0,5,5,0,0
A11_2,A,M,F,24.6,0,0.213,0.551,0.3380000000000001,0,0,0,0,0,0,0,0,0
A11_3,A,M,F,24.6,1,0,0.323,0.323,790.023,790.023,0,0,0,1,1,0,0
A11_6,A,M,F,24.6,3,0.261,0.337,0.07600000000000001,705.186,705.186,3,3,0,0,0,0,3
A12_11,A,M,M,24.6,1,0.137,0.3,0.16299999999999998,722.959,722.959,1,0,1,0,0,1,0
A12_12,A,M,M,24.6,2,0.169,0.346,0.17699999999999996,793.025,793.025,1,1,0,1,1,0,1
A13_13,A,M,F,24.6,2,0.276,0.49,0.21399999999999997,386.615,386.615,2,0,2,0,0,2,0
A14_21,A,M,M,24.6,1,0.172,0.304,0.132,220.94,220.94,0,0,0,1,1,0,0
A14_22,A,M,M,24.6,1,0.176,0.275,0.09900000000000003,520.245,520.245,0,0,0,1,1,0,0
A14_23,A,M,M,24.6,0,0.183,0.297,0.11399999999999999,0,0,0,0,0,0,0,0,0
A14_24,A,M,M,24.6,0,0.157,0.299,0.142,0,0,0,0,0,0,0,0,0
A22_31,A,L,M,21.6,0,0,0.283,0.283,0,0,0,0,0,0,0,0,0
A31_37,A,H,F,30.4,2,0.211,0.496,0.28500000000000003,801.006,801.006,2,0,2,0,0,2,0
A32_43,A,H,M,30.3,2,0.16,0.297,0.13699999999999998,317.801,317.551,1,1,0,1,1,0,1
A32_44,A,H,M,30.3,0,0.147,0.303,0.156,0,0,0,0,0,0,0,0,0
A32_48,A,H,M,30.3,0,0.173,0.3,0.127,0,0,0,0,0,0,0,0,0
B12_10,B,H,F,30.2,4,0.204,0.505,0.30100000000000005,845.319,845.319,3,1,2,1,1,2,1
B12_8,B,H,F,30.2,0,0.215,0.459,0.24400000000000002,0,0,0,0,0,0,0,0,0
B21_11,B,L,M,20.9,4,0.162,0.316,0.154,619.855,620.355,2,0,2,2,2,2,0
B31_22,B,M,M,25.5,2,0.152,0.321,0.169,482.213,481.464,2,0,2,0,0,2,0
C11_4,C,L,F,20.9,0,0.25,0.477,0.22699999999999998,0,0,0,0,0,0,0,0,0
C11_5,C,L,F,20.9,1,0.246,0.496,0.25,645.378,645.378,0,0,0,1,1,0,0
C12_8,C,L,M,20.9,6,0.176,0.309,0.133,722.95,722.95,2,1,1,4,4,1,1
C12_9,C,L,M,20.9,3,0.174,0.323,0.14900000000000002,832.058,832.058,3,0,3,0,0,3,0
C13_15,C,L,F,20.9,7,0.213,0.46,0.24700000000000003,875.856,875.856,5,0,5,2,2,5,0
C22_31,C,H,M,30,1,0.188,0.323,0.135,163.645,163.645,1,0,1,0,0,1,0
C22_33,C,H,M,30,3,0.158,0.305,0.147,783.012,783.012,2,0,2,1,1,2,0
C23_37,C,H,F,30,1,0.198,0.532,0.334,764.75,765.002,0,0,0,1,1,0,0
C23_40,C,H,F,30,0,0.274,0.566,0.2919999999999999,0,0,0,0,0,0,0,0,0
C23_41,C,H,F,30,1,0,0.416,0.416,213.169,214.33,1,0,1,0,0,1,0
C24_43,C,H,M,30,1,0.188,0.293,0.10499999999999998,833.695,833.695,0,0,0,1,1,0,0
C24_45,C,H,M,30,2,0.176,0.324,0.14800000000000002,503.573,503.573,2,0,2,0,0,2,0
C24_48,C,H,M,30,4,0.174,0.357,0.183,868.602,868.602,1,0,1,3,3,1,0
C31_49,C,M,F,25,0,0,0.46,0.46,0,0,0,0,0,0,0,0,0
C31_53,C,M,F,25,4,0.251,0.586,0.33499999999999996,833.316,834.301,2,1,1,2,2,1,1
C32_57,C,M,M,25,3,0.174,0.314,0.14,599.334,599.088,1,1,0,2,1,0,1
C32_58,C,M,M,25,2,0.158,0.34,0.18200000000000002,79.814,79.571,0,0,0,2,2,0,0
C33_65,C,M,F,25,0,0.285,0.481,0.196,0,0,0,0,0,0,0,0,0
